id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
686,Sound Imitation (Speech) - Develop sentencebuilding skills #143,Speech,Moderate,Develop sentence-building skills,"vocabulary, listening","pillow, glue",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Mixed,Level 2 (moderate support),Group setting possible,Low cost,Auditory
687,Movement Break (Sensory) - Provide calming sensory #197,Sensory,Easy,Provide calming sensory input,"body awareness, proprioception","pom-poms, glue",30,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-seeking,Level 2 (moderate support),Low materials / small space,No cost,Mixed
688,Picture Labeling (Writing) - Build sentence writing #45,Writing,Moderate,Build sentence writing using prompts,"visual-motor integration, fine motor precision","safe scissors, glue",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 2 (moderate support),Group setting possible,Low cost,Auditory
689,Letter Hunt (Writing) - Support idea organization #169,Writing,Easy,Support idea organization in writing,"sentence building, copying skills","blocks, pillow, clothespins, pom-poms",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Neutral,Level 1 (mild support),Low materials / small space,Medium cost,Kinesthetic
690,Sticker Pick-Up (Fine Motor) - Develop inhand manipulation #31,Fine Motor,Challenging,Develop in-hand manipulation,"dexterity, hand-eye coordination","playdough, ball, glue, pom-poms",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Sensory-avoidant,Level 2 (moderate support),Quiet environment,No cost,Mixed
691,Turn-Taking Game (Speech) - Improve receptive language #69,Speech,Easy,Improve receptive language following directions,"social communication, turn-taking","spoon, paper, pom-poms, zipper pouch",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Sensory-avoidant,Level 3 (high support),Low materials / small space,Medium cost,Mixed
692,Emotion Words (Speech) - Encourage turntaking in #16,Speech,Moderate,Encourage turn-taking in conversation,"listening, social communication","crayons, buttons",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Neutral,Level 3 (high support),Outdoor friendly,No cost,Mixed
693,Pinch & Place (Fine Motor) - Improve scissor skills #217,Fine Motor,Moderate,Improve scissor skills with safe cutting,"bilateral coordination, tool use","ball, small toys, string",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Neutral,Level 2 (moderate support),Low materials / small space,No cost,Visual
694,Ball Toss (Gross Motor) - Encourage wholebody movement #30,Gross Motor,Moderate,Encourage whole-body movement,"core strength, inhibition control","markers, pom-poms, buttons",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Mixed,Level 2 (moderate support),Low materials / small space,Low cost,Kinesthetic
695,Obstacle Course (Gross Motor) - Improve jumping and #131,Gross Motor,Easy,Improve jumping and landing control,"balance, motor planning","buttons, tape on floor",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Kinesthetic
696,Guided Journal (Writing) - Practice writing simple #112,Writing,Easy,Practice writing simple labels for pictures,"sentence building, spacing","blocks, stickers",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Mixed,Level 3 (high support),Outdoor friendly,No cost,Visual
697,Deep Pressure Routine (Sensory) - Improve tolerance to #117,Sensory,Easy,Improve tolerance to textures,"sensory modulation, proprioception","string, plastic cups, coins, tape on floor",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Mixed
698,Sticker Pick-Up (Fine Motor) - Develop pincer grasp #57,Fine Motor,Moderate,Develop pincer grasp,"dexterity, finger isolation","stickers, notebook, picture cards",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Auditory
699,Breathing Game (Sensory) - Reduce restlessness using #130,Sensory,Moderate,Reduce restlessness using movement breaks,"transitioning, body awareness","clothespins, small toys",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Mixed,Level 2 (moderate support),Quiet environment,No cost,Mixed
700,Movement Break (Sensory) - Help with selfregulation #126,Sensory,Moderate,Help with self-regulation,"proprioception, body awareness","small toys, pillow, playdough, pom-poms",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-seeking,Level 2 (moderate support),Quiet environment,No cost,Mixed
701,Heavy Work (Sensory) - Offer safe sensory #206,Sensory,Challenging,Offer safe sensory exploration,"proprioception, tactile tolerance","clothespins, rice or beans in a container, flashcards, markers",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-avoidant,Level 1 (mild support),Quiet environment,Low cost,Visual
702,Heavy Work (Sensory) - Provide calming sensory #48,Sensory,Easy,Provide calming sensory input,"proprioception, tactile tolerance","coins, glue",30,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Mixed,Level 3 (high support),Quiet environment,No cost,Kinesthetic
703,Follow Directions (Speech) - Practice labeling emotions #216,Speech,Challenging,Practice labeling emotions with words,"vocabulary, speech production","small toys, crayons, pillow",10,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Mixed,Level 2 (moderate support),Group setting possible,No cost,Mixed
